"","term","description","title"
"1","library","load an R package","All Functions of Week 10"
"2","setwd","Set Working Directory",""
"3","read.csv","read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"4","as.numeric","coerce a vector to numeric",""
"5","filter","filter out rows of a data frame according to logical vector",""
"6","summary","Obtain summary statistics or detailed regression output",""
"7","ggplot","Create a ggplot graph",""
"8","aes",NA,""
"9","stat_ecdf",NA,""
"10","theme_classic",NA,""
"11","geom_segment",NA,""
"12","ecdf",NA,""
"13","scale_x_continuous","Customise continuous x axis",""
"14","c","Combine values/vectors into a vector",""
"15","scale_y_continuous","Customise continuous y axis",""
"16","set.seed",NA,""
"17","sample_n",NA,""
"18","sd","Get standard deviation of a vector",""
"19","sqrt","square root",""
"20","mean","get mean of a vector",""
"21","t.test",NA,""
"22","mutate","modify/create a column in a data frame",""
"23","cut",NA,""
"24","geom_bar",NA,""
"25","ylab",NA,""
"26","theme","Set theme for GGPLOT2",""
"27","element_text","Customise text in GGPLOT2",""
