"","term","description","title"
"1","set",NA,"All Functions of Week 7"
"2","ifelse","return a or b depending on the value of test",""
"3","setwd","Set Working Directory",""
"4","library","load an R package",""
"5","read_excel",NA,""
"6","mean","get mean of a vector",""
"7","median",NA,""
"8","summary","Obtain summary statistics or detailed regression output",""
"9","min","get minimum of a vector",""
"10","max","get maximum of a vector",""
"11","range",NA,""
"12","sd","Get standard deviation of a vector",""
"13","var",NA,""
"14","hist","plot a simple histogram",""
"15","boxplot","plot a simple box plot",""
"16","ggplot","Create a ggplot graph",""
"17","geom_histogram",NA,""
"18","aes",NA,""
"19","scale_x_continuous","Customise continuous x axis",""
"20","seq","create a sequence",""
"21","labs","Customise labels in GGPLOT2",""
"22","labs","Add a vertical line in GGPLOT2",""
"23","theme_classic",NA,""
"24","sum","get sum of numeric values or a vector",""
