"","term","description","title"
"1","median",NA,"New Functions in Week 7"
"2","summary","Obtain summary statistics or detailed regression output",""
"3","min","get minimum of a vector",""
"4","max","get maximum of a vector",""
"5","range",NA,""
"6","sd","Get standard deviation of a vector",""
"7","var",NA,""
"8","hist","plot a simple histogram",""
"9","boxplot","plot a simple box plot",""
"10","ggplot","Create a ggplot graph",""
"11","geom_histogram",NA,""
"12","aes",NA,""
"13","scale_x_continuous","Customise continuous x axis",""
"14","seq","create a sequence",""
"15","labs","Customise labels in GGPLOT2",""
"16","labs","Add a vertical line in GGPLOT2",""
"17","theme_classic",NA,""
"18","sum","get sum of numeric values or a vector",""
