"term","description","title"
"read_dta",NA,"New Functions in Week 8"
"table","obtain frequency table of a variable/cross-tabulation of two variables",""
"data.frame","create a data.frame from vectors",""
"separate",NA,""
"as.numeric","coerce a vector to numeric",""
"as.character","coerce a vector to character",""
"n",NA,""
"spread",NA,""
"diff",NA,""
"summarize",NA,""
"is.na","check if a value is NA/elements of vector are NA",""
"write.csv","write a csv file to a data frame",""
"write_dta",NA,""
"save",NA,""
