"term","description","title"
"setwd","Set Working Directory","All Functions of Week 10"
"read.csv","read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"set.seed",NA,""
"sample_frac",NA,""
"lm",NA,""
"summary","Obtain summary statistics or detailed regression output",""
"resid",NA,""
"nobs",NA,""
"pchisq",NA,""
"library","load an R package",""
"bptest",NA,""
"filter","filter out rows of a data frame according to logical vector",""
"coeftest",NA,""
"vcovHC",NA,""
"vif",NA,""
"rm",NA,""
"ls",NA,""
"names","retrieve names of a list/vector",""
"attach",NA,""
"mutate","modify/create a column in a data frame",""
"cut",NA,""
"c","Combine values/vectors into a vector",""
"select","select columns from a tibble/data frame",""
"leveneTest",NA,""
"t.test",NA,""
