"term","package","description","title"
"set.seed","base","Initialise a pseudorandom number generator.","New Functions in Week 10"
"sample_frac","dplyr","Sample a fraction of observations from a data frame",""
"resid","stats","Extracts model residuals from objects returned by modeling functions",""
"nobs","gdata","Compute the number of non-missing observations",""
"pchisq","stats","Gives the distribution function of the chi-squared distribution",""
"bptest","lmtest","Breusch-Pagan Test for Homoscedasticity",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"vcovHC","sandwich","Heteroscedasticity-consistent estimation of the covariance matrix of the coefficient estimates",""
"vif","car","Calculate Variance Inflation Factor",""
"select","dplyr","Select columns from a tibble/data frame",""
