"term","description","title"
"set",NA,"All Functions Used So Far, Week 2"
"ifelse","return a or b depending on the value of test",""
"setwd","Set Working Directory",""
"library","load an R package",""
"read_dta",NA,""
"summary","Obtain summary statistics or detailed regression output",""
"mutate","modify/create a column in a data frame",""
"ordered",NA,""
"cut",NA,""
"c","Combine values/vectors into a vector",""
"with","evaluate expression in the context of a data frame (without using the “$” operator)",""
"table","obtain frequency table of a variable/cross-tabulation of two variables",""
"chisq.test",NA,""
"prop.test",NA,""
"leveneTest",NA,""
"t.test",NA,""
