"term","package","description","title"
"lag","dplyr","Shift values in a vector or time series","New Functions in Week 7"
"coeftest","lmtest","Inference for Estimated Coefficients",""
"as.data.frame","base","Functions to check if an object is a data frame, or coerce it if possible.",""
"unlist","base","Flattens a list into a vector by extracting all its elements",""
"roc","pRoc","Create a Receiver Operating Characteristic (ROC) curve",""
"auc","pRoc","Returns the area under the curve",""
"plot","graphics","Generic function from base R to produce a plot",""
"round","base","Rounds numbers",""
"attr","base","Access or modify the attributes of an object",""
"as.numeric","base","Coerce a vector to numeric",""
"coef","stats","Extract model coefficients",""
"sqrt","base","Square-root function",""
"t","base","Transpose a matrix or data frame",""
"matrix","base","Creates a matrix from the given set of values.",""
"diag","base","Extract or construct diagonal elements or matrices",""
