"term","package","description","title"
"library","base","Load an R package","All Functions of Week 7"
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"mutate","dplyr","Create new variables",""
"log","base","log (default base = e)",""
"pdata.frame","plm","Creates a panel data frame, the data structure used by the plm package for panel/longitudinal data",""
"c","base","Combine values/vectors into a vector",""
"plm","plm","Estimates linear panel data models (fixed effects, random effects, pooling, between, first-differences)",""
"vcovSCC","plm","Computes Driscoll and Kraay (SCC) robust covariance matrix estimators for panel models",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"lag","dplyr","Shift values in a vector or time series",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"modelsummary","modelsummary","Creates regression and data tables",""
"list","base","Create a list object",""
"group_tt","tinytable","Grouping in tinytable",""
