"term","package","description","title"
"setwd","base","Set Working Directory","All Functions Used So Far, Week 7"
"library","base","Load an R package",""
"read_excel","readxl","Read an Excel file",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Get or set names of an object",""
"str","utils","Get the structure of an R object",""
"mean","base","Get mean of a vector",""
"median","stats","Get median of a vector",""
"par","graphics","Set parameters of the plotting device",""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"plot","graphics","Generic function from base R to produce a plot",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"summary","base","Obtain summary statistics or detailed regression output",""
"mutate","dplyr","Create new variables",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"length","base","Returns number of elements in an object",""
"data.frame","base","Create a data.frame from vectors",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"expression","base","Used in plots to add symbols to axes",""
"rnorm","base","Generate random numbers from a normal distribution",""
"as.data.frame","base","Functions to check if an object is a data frame, or coerce it if possible.",""
"sample","base","Takes a sample of the specified size",""
"log","base","log (default base = e)",""
"which","base","return indexes of TRUE entries of a logical vector",""
"ifelse","base","Return a or b depending on the value of test",""
"as.character","base","Coerce a vector to character",""
"lm","stats","Fit linear models using least squares",""
"nobs","stats","Return the number of observations in a model object",""
"bar","base","Used for annotations, such as ""expression(paste(""-"",bar(y)))""",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"order","base","Get indexes that will sort a vector",""
"nrow","base","Get number of rows of a data frame",""
"tibble","tibble","A modern data frame from the tidyverse",""
"pnorm","base","Returns the cumulative distribution function (CDF) of the normal distribution",""
"glm","base","Fits generalized linear models",""
"binomial","base","Family argument in glm()",""
"predict","stats","Generate predicted values from model objects",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"complete.cases","stats","Find Complete Cases",""
"colMeans","base","Computes the means of each column of a numeric matrix or data frame",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"scale_color_manual","ggplot2","Manually sets the colours used in a ggplot color scale to user-specified values",""
"pdata.frame","plm","Creates a panel data frame, the data structure used by the plm package for panel/longitudinal data",""
"plm","plm","Estimates linear panel data models (fixed effects, random effects, pooling, between, first-differences)",""
"vcovSCC","plm","Computes Driscoll and Kraay (SCC) robust covariance matrix estimators for panel models",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"lag","dplyr","Shift values in a vector or time series",""
