"term","package","description","title"
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters","All Functions of Week 8"
"library","base","Load an R package",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"mutate","dplyr","Create new variables",""
"lag","dplyr","Shift values in a vector or time series",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"log","base","log (default base = e)",""
"mean","base","Get mean of a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"glm","base","Fits generalized linear models",""
"binomial","base","Family argument in glm()",""
"summary","base","Obtain summary statistics or detailed regression output",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"vcovCL",NA,NA,""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"lrtest",NA,NA,""
"nobs","stats","Return the number of observations in a model object",""
"as.data.frame","base","Functions to check if an object is a data frame, or coerce it if possible.",""
"grepl",NA,NA,""
"rownames",NA,NA,""
"head","utils","Show first 5 rows of a data frame",""
"order","base","Get indexes that will sort a vector",""
"linearHypothesis",NA,NA,""
"predict","stats","Generate predicted values from model objects",""
"unlist","base","Flattens a list into a vector by extracting all its elements",""
"roc","pRoc","Create a Receiver Operating Characteristic (ROC) curve",""
"auc","pRoc","Returns the area under the curve",""
"plot","graphics","Generic function from base R to produce a plot",""
"ggroc",NA,NA,""
"geom_abline",NA,NA,""
"round","base","Rounds numbers",""
"coord_fixed",NA,NA,""
"c","base","Combine values/vectors into a vector",""
"tibble","tibble","A modern data frame from the tidyverse",""
"attr","base","Access or modify the attributes of an object",""
"group_tt","tinytable","Grouping in tinytable",""
"as.numeric","base","Coerce a vector to numeric",""
"coef","stats","Extract model coefficients",""
"length","base","Returns number of elements in an object",""
"names","base","Get or set names of an object",""
"sqrt","base","Square-root function",""
"t","base","Transpose a matrix or data frame",""
"matrix","base","Creates a matrix from the given set of values.",""
"build_survival_vcov",NA,NA,""
"joint_coef",NA,NA,""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"setdiff",NA,NA,""
"stop",NA,NA,""
"all",NA,NA,""
"is.finite",NA,NA,""
"any",NA,NA,""
"diag","base","Extract or construct diagonal elements or matrices",""
"avg_slopes",NA,NA,""
"cat","base","Concatenate and print objects to the console without quotes or indices",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
