"","term","description","title"
"1","set",NA,"All Functions Used So Far, Week 5"
"2","ifelse","return a or b depending on the value of test",""
"3","setwd","Set Working Directory",""
"4","library","load an R package",""
"5","read_excel",NA,""
"6","head","show first 5 rows of a data frame",""
"7","head","print first n (default 5) rows of the data",""
"8","names","retrieve names of a list/vector",""
"9","str","get the structure of an R object",""
"10","factor","create a factor",""
"11","mutate","modify/create a column in a data frame",""
"12","recode","Recode a variable",""
"13","ordered",NA,""
"14","c","Combine values/vectors into a vector",""
"15","cut",NA,""
"16","levels","get levels of a factor ",""
"17","select","select columns from a tibble/data frame",""
"18","slice",NA,""
"19","filter","filter out rows of a data frame according to logical vector",""
"20","arrange","sort values of data frame according to a variable/combination of varaibles",""
"21","desc",NA,""
"22","group_by","group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"23","ungroup",NA,""
"24","summarise","collapse the dataset to a summary statistic. Usually used with group_by()",""
"25","mean","get mean of a vector",""
"26","median",NA,""
"27","summary","Obtain summary statistics or detailed regression output",""
"28","min","get minimum of a vector",""
"29","max","get maximum of a vector",""
"30","range",NA,""
"31","sd","Get standard deviation of a vector",""
"32","var",NA,""
"33","read.spss",NA,""
"34","attach",NA,""
"35","hist","plot a simple histogram",""
"36","seq","create a sequence",""
"37","boxplot","plot a simple box plot",""
"38","ggplot","Create a ggplot graph",""
"39","geom_histogram",NA,""
"40","aes",NA,""
"41","scale_x_continuous","Customise continuous x axis",""
"42","labs","Customise labels in GGPLOT2",""
"43","labs","Add a vertical line in GGPLOT2",""
"44","ggtitle",NA,""
"45","theme_classic",NA,""
"46","sum","get sum of numeric values or a vector",""
"47","subset","filter out rows of a data frame according to logical vector",""
"48","is.na","check if a value is NA/elements of vector are NA",""
"49","geom_bar",NA,""
"50","class","retrieve class of an R object (e.g. ‘numeric’, ‘list’, ‘data.frame’)",""
"51","table","obtain frequency table of a variable/cross-tabulation of two variables",""
"52","rm",NA,""
"53","ls",NA,""
"54","rbind",NA,""
"55","cbind",NA,""
"56","install.packages",NA,""
"57","freq",NA,""
"58","plot","Generic function from base R to produce a plot",""
"59","pie",NA,""
"60","lprop",NA,""
"61","order","get indexes that will sort a vector",""
"62","matrix",NA,""
"63","unique","get unique elements",""
"64","which.max","return index of the largest value in a vector",""
"65","tabulate",NA,""
"66","match",NA,""
"67","get_mode",NA,""
"68","density",NA,""
"69","round",NA,""
"70","sample",NA,""
"71","set.seed",NA,""
"72","rnorm",NA,""
"73","as.data.frame",NA,""
"74","after_stat",NA,""
"75","geom_density",NA,""
"76","xlab",NA,""
"77","ylab",NA,""
"78","theme_bw",NA,""
"79","grid.arrange",NA,""
"80","runif",NA,""
"81","rbeta",NA,""
"82","read.csv","read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"83","complete.cases","retrieve indices of complete observations",""
"84","with","evaluate expression in the context of a data frame (without using the “$” operator)",""
"85","t.test",NA,""
"86","prop.test",NA,""
"87","theme","Set theme for GGPLOT2",""
"88","element_text","Customise text in GGPLOT2",""
"89","geom_point",NA,""
"90","sample_n",NA,""
"91","dnorm",NA,""
"92","data.frame","create a data.frame from vectors",""
"93","expression","Used in plots to add symbols to axes",""
"94","gpar",NA,""
"95","paste",NA,""
"96","bar",NA,""
"97","scale_y_continuous","Customise continuous y axis",""
"98","geom_segment",NA,""
"99","geom_ribbon",NA,""
"100","element_blank",NA,""
"101","unit",NA,""
"102","arrow",NA,""
