"term","description","title"
"set",NA,"All Functions Used So Far, Week 9"
"ifelse","return a or b depending on the value of test",""
"setwd","Set Working Directory",""
"library","load an R package",""
"class","retrieve class of an R object (e.g. ‘numeric’, ‘list’, ‘data.frame’)",""
"c","Combine values/vectors into a vector",""
"mean","get mean of a vector",""
"sd","Get standard deviation of a vector",""
"example",NA,""
"rbind",NA,""
"cbind",NA,""
"ls",NA,""
"ls.str",NA,""
"read.spss",NA,""
"attach",NA,""
"View",NA,""
"nrow","get number of rows of a data frame",""
"ncol","get number of columns of a data frame",""
"dim","get dimensions of a data frame ",""
"names","retrieve names of a list/vector",""
"str","get the structure of an R object",""
"head","show first 5 rows of a data frame",""
"table","obtain frequency table of a variable/cross-tabulation of two variables",""
"plot","Generic function from base R to produce a plot",""
"read_excel",NA,""
"factor","create a factor",""
"mutate","modify/create a column in a data frame",""
"recode","Recode a variable",""
"ordered",NA,""
"cut",NA,""
"levels","get levels of a factor ",""
"select","select columns from a tibble/data frame",""
"slice",NA,""
"filter","filter out rows of a data frame according to logical vector",""
"arrange","sort values of data frame according to a variable/combination of varaibles",""
"desc",NA,""
"group_by","group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup",NA,""
"summarise","collapse the dataset to a summary statistic. Usually used with group_by()",""
"median",NA,""
"summary","Obtain summary statistics or detailed regression output",""
"min","get minimum of a vector",""
"max","get maximum of a vector",""
"range",NA,""
"var",NA,""
"hist","plot a simple histogram",""
"seq","create a sequence",""
"boxplot","plot a simple box plot",""
"ggplot","Create a ggplot graph",""
"geom_histogram",NA,""
"aes",NA,""
"scale_x_continuous","Customise continuous x axis",""
"labs","Customise labels in GGPLOT2",""
"labs","Add a vertical line in GGPLOT2",""
"ggtitle",NA,""
"theme_classic",NA,""
"sum","get sum of numeric values or a vector",""
"subset","filter out rows of a data frame according to logical vector",""
"is.na","check if a value is NA/elements of vector are NA",""
"geom_bar",NA,""
"rm",NA,""
"install.packages",NA,""
"freq",NA,""
"pie",NA,""
"lprop",NA,""
"order","get indexes that will sort a vector",""
"matrix",NA,""
"unique","get unique elements",""
"which.max","return index of the largest value in a vector",""
"tabulate",NA,""
"match",NA,""
"get_mode",NA,""
"density",NA,""
"round",NA,""
"sample",NA,""
"set.seed",NA,""
"rnorm",NA,""
"as.data.frame",NA,""
"after_stat","Control aesthetic evaluation. Most aesthetics are mapped from variables found in the data. Sometimes, however, you want to delay the mapping until later in the rendering process. ggplot2 has three stages of the data that you can map aesthetics from, and three functions to control at which stage aesthetics should be evaluated.",""
"geom_density",NA,""
"xlab",NA,""
"ylab",NA,""
"theme_bw",NA,""
"grid.arrange",NA,""
"runif",NA,""
"rbeta",NA,""
"read.csv","read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"complete.cases","retrieve indices of complete observations",""
"with","evaluate expression in the context of a data frame (without using the “$” operator)",""
"t.test",NA,""
"prop.test",NA,""
"theme","Set theme for GGPLOT2",""
"element_text","Customise text in GGPLOT2",""
"geom_point",NA,""
"sample_n",NA,""
"dnorm",NA,""
"data.frame","create a data.frame from vectors",""
"expression","Used in plots to add symbols to axes",""
"gpar",NA,""
"paste",NA,""
"bar",NA,""
"scale_y_continuous","Customise continuous y axis",""
"geom_segment",NA,""
"geom_ribbon",NA,""
"element_blank",NA,""
"unit",NA,""
"arrow",NA,""
"as.numeric","coerce a vector to numeric",""
"addmargins",NA,""
"as.factor","coerce a vector to factor",""
"chisq.test",NA,""
"cor",NA,""
"cor.test",NA,""
"prop.table","transform frequency table into table of proportions",""
"which","return indexes of TRUE entries of a logical vector",""
"tapply",NA,""
"barplot","plot a simple bar plot",""
"grid",NA,""
"par","set parameters of the plotting device",""
"geom_smooth",NA,""
"geom_hline","Add a horizontal line in GGPLOT2",""
"geom_vline",NA,""
"lm",NA,""
"stargazer",NA,""
"quantile","obtain empirical quantiles of a vector",""
"colnames","retrieve column names of a data frame",""
"print","print object to the console",""
"reorder",NA,""
"coord_flip",NA,""
"confint",NA,""
"predict","Predict Probability",""
"scale_colour_manual",NA,""
"read_dta",NA,""
"plotPlane",NA,""
